title,description,imgUrl,price,location
Apple iPhone 6S 4G (Used),"Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/apple-iphone-6s-4g-used-for-sale-rajshahi-division/979c371f-1106-44c6-9dbd-49a44ef3fa60/142/107/cropped.jpg,"Tk 9,000",Rajshahi Division
Realme X ৬/৬৪জিবি POPUP SELFI (Used),"Khulna Division, Mobile Phones",https://i.bikroy-st.com/realme-x-6-64jibi-popup-selfi-used-for-sale-khulna-division/1ab76491-7de2-418c-8f4a-147da299d86b/142/107/cropped.jpg,"Tk 9,999",Khulna Division
Xiaomi Redmi Note 8 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-note-8-used-for-sale-dhaka-14024/6038b3ab-6a6f-4aaa-ac04-5a8b32352727/142/107/cropped.jpg,"Tk 9,000",Dhaka
Samsung Galaxy S22 Ultra 12/256GB Dual Sim (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-s22-ultra-12-256gb-dual-sim-used-for-sale-dhaka-16/e367cf94-8c76-4728-8b0f-5a24d500cd63/142/107/cropped.jpg,"Tk 68,000",Dhaka
Nokia G20 (New),"Dhaka, Mobile Phones",https://i.bikroy-st.com/nokia-g20-new-for-sale-dhaka-2/2b0f3f7b-7760-4efd-acb4-28ccbf6da5b9/142/107/cropped.jpg,"Tk 11,999",Dhaka
Realme 5i 4/64 GB (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/realme-5i-4-64-gb-used-for-sale-dhaka-287/f5f6918f-4a3f-4ab2-998d-b7816261d618/142/107/cropped.jpg,"Tk 7,500",Dhaka
Apple iPhone XS (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-xs-used-for-sale-dhaka-3621/a33dad4d-b9d0-47e3-84d8-4b8cddb53813/142/107/cropped.jpg,"Tk 21,000",Dhaka
Apple iPhone 14 Pro Max 256 GB (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-14-pro-max-256-gb-used-for-sale-dhaka-48/7e6c7781-1c1d-46dd-91de-979f0280d97f/142/107/cropped.jpg,"Tk 92,000",Dhaka
Symphony .mobile (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/symphony-used-for-sale-dhaka-9538/6ec0cb6e-19e9-40d2-89a1-ff26c94f8c5a/142/107/cropped.jpg,"Tk 2,500",Dhaka
Mango mobile . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/mango-maarkett-used-for-sale-dhaka/8b1db019-114e-40de-9339-7724ba4181a0/142/107/cropped.jpg,Tk 900,Dhaka
"Vivo Y20 , (Used)","Dhaka, Mobile Phones",https://i.bikroy-st.com/vivo-y20-used-for-sale-dhaka-4544/3ed19818-d780-4585-b8f9-9318c3bb1ba3/142/107/cropped.jpg,"Tk 8,000",Dhaka
OPPO A58 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oppo-a58-official-used-for-sale-dhaka-3/4fc1e26d-6dba-4ea0-a486-41c413b2e2aa/142/107/cropped.jpg,"Tk 17,000",Dhaka
Vivo Y20 . (Used),"Dhaka Division, Mobile Phones",https://i.bikroy-st.com/vivo-y20-2022-used-for-sale-dhaka-division-30/6f8faf2d-bb99-41ec-b4d0-6a0d60546dd3/142/107/cropped.jpg,"Tk 9,000",Dhaka Division
Samsung Galaxy A03S . (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a03s-used-for-sale-rajshahi-330/8db0c695-3401-40e7-a392-c2919972f504/142/107/cropped.jpg,"Tk 9,200",Rajshahi
Xiaomi Pocophone F1 . (Used),"Barishal, Mobile Phones",https://i.bikroy-st.com/xiaomi-pocophone-f1-used-for-sale-barishal-124/5e8e828f-ee73-4203-80b2-7b4279bbd83f/142/107/cropped.jpg,"Tk 9,500",Barishal
Lava V7 (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/lava-v7-used-for-sale-chattogram-1/f130a3fe-8be0-4b86-915b-3d4e068857cb/142/107/cropped.jpg,"Tk 4,000",Chattogram
T800 Pro Max smart watch,"Sylhet, Wearables",https://i.bikroy-st.com/t800-pro-max-smart-watch-for-sale-sylhet/19a41cde-b575-4cf1-b5ed-7075036426dc/142/107/cropped.jpg,"Tk 2,000",Sylhet
Xiaomi Poco M3 (Used),"Dhaka Division, Mobile Phones",https://i.bikroy-st.com/xiaomi-poco-m3-used-for-sale-dhaka-division-1095/c5a587cf-4dbe-4713-bdc1-93222fe6c406/142/107/cropped.jpg,"Tk 8,000",Dhaka Division
Xiaomi Redmi 9 Power 4/64 . (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/xiaomi-redmi-9-power-4-64-gaming-phone-used-for-sale-rajshahi/33fec0b0-f694-477f-b867-d18b83dfe026/142/107/cropped.jpg,"Tk 9,990",Rajshahi
Motorola Moto razar v3i (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/motorola-moto-razar-v3i-used-for-sale-dhaka/dbcbfa19-82aa-45cd-9c34-c7c6470a7903/142/107/cropped.jpg,"Tk 8,000",Dhaka
full box Carjer soho phone lagbe,"Rajshahi Division, Mobile Phones",,,Rajshahi Division
Vivo Y21 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/vivo-y21-used-for-sale-dhaka-3622/16cfacf4-52a0-4d85-8eea-c78356b865ed/142/107/cropped.jpg,"Tk 9,000",Dhaka
Vivo Y21 (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/vivo-y21-used-for-sale-dhaka-3622/16cfacf4-52a0-4d85-8eea-c78356b865ed/142/107/cropped.jpg,"Tk 9,000",Dhaka
Samsung Adapter,"Dhaka, Mobile Phone Accessories",https://i.bikroy-st.com/samsung-adapter-for-sale-dhaka-15/6ee7910f-5054-42b4-a817-f8944519bc07/142/107/cropped.jpg,"Tk 1,400",Dhaka
"Nokia 105 , (Used)","Barishal, Mobile Phones",https://i.bikroy-st.com/nokia-105-used-used-for-sale-barishal-3/97c8007e-37a7-4333-9e95-467763a75d90/142/107/cropped.jpg,"Tk 1,200",Barishal
Apple iPhone 14 Plus BH100% 13Times Only (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-14-plus-bh100-percent-13times-only-used-for-sale-dhaka/c52ed975-4289-44da-9975-e3c6b7794e22/142/107/cropped.jpg,"Tk 75,500",Dhaka
Google Pixel 7 Pro 128GB (Used),"Chattogram, Mobile Phones",https://i.bikroy-st.com/google-pixel-7-pro-128gb-used-for-sale-chattogram-1/62912996-0b45-4d0a-a345-8964629ac4bb/142/107/cropped.jpg,"Tk 58,999",Chattogram
OPPO A58 . (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/oppo-a58-official-used-for-sale-dhaka/2872b5ea-bcb5-417e-94e7-814e175a6f15/142/107/cropped.jpg,"Tk 17,500",Dhaka
Vivo Y1s 2/32gb . (Used),"Rajshahi, Mobile Phones",https://i.bikroy-st.com/vivo-y1s-2-32gb-used-for-sale-rajshahi-3/53d02ad3-4fbe-452e-b46c-8d548c4f8784/142/107/cropped.jpg,"Tk 4,999",Rajshahi
Samsung Galaxy A10 (Used),"Mymensingh, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a10-used-for-sale-mymensingh-96/bdc59aae-0014-4b59-abe0-c8788fb08484/142/107/cropped.jpg,"Tk 3,500",Mymensingh
Apple iPhone 6 Mobile (Used),"Dhaka, Mobile Phones",https://i.bikroy-st.com/apple-iphone-6-iphon-used-for-sale-dhaka-59/c8569219-e4f0-439c-a6ea-00fd34362af7/142/107/cropped.jpg,"Tk 6,800",Dhaka
Samsung Galaxy A20 3/32 (Used),"Rajshahi Division, Mobile Phones",https://i.bikroy-st.com/samsung-galaxy-a20-3-32-used-for-sale-rajshahi-division-431/aa2052d8-59a0-4363-972a-1320d89a3367/142/107/cropped.jpg,"Tk 7,700",Rajshahi Division
